document_id,clean_text,sentiment
rev11,i watch joker venic i say joaquin doesnt get oscar year someth wrong world thi perfom jawdrop glue screen doesnt let go till end stori good interest connect batman loreespeci one cant guess trailer there scene ten wellact imagin push cinematographi direct great todd proven director robert also good small role will definit see soon octob,Positive
rev12,there doubt well thought plot execut i must prais phoenix superb act he manag portray believ awkward social reject also crazi murder becam i realli think role could it also interest watch deterior mental littl littl gave tri fit societi gotta hand script writer plot unpredictablebutther wasnt anyth complex arthur mental state no deep psycholog analysi web mani deep factor creat one kind psychot maniac could i expect much veri possibl sinc i came high expect read review what doesnt anyth expect end didnt remind much origin joker he felt like simpli societi reject went complet crazi start kill peopl not much differ mani serial killer mass murder he didnt master mind much design joker made differ simpl murder anoth thing long part felt dull also i found hard buy reason behind riot citi role joker play even taken account poverti anger cook long time societi still feel somewhat absurd kill three peopl subway made joker notori in conclus i identifi charact gave last impress could great person that reject societi turn slowli serial killer but joker i felt lack lack thing made joker actual joker anoth crazi murder,Neutral
rev13,thi caus audienc consid mani topic moral particularli poor choic made joker the joker relat antagonist usual i think give realist view bad peopl usual bad way societi often judg it import know sympath joker toward begin need identifi threat begin make certain bad choic thi suitabl adult will pick apart think critic it isnt light amus that substanc make goodif arent abl ponder underli theme hand thought isnt best found help wa review help sign vote permalink,Positive
rev14,the affect way make physic pain experi good way found help wa review help sign vote permalink,Positive
rev15,the act cinematographi sound design script phenomen thi triumph joaquin pheonix deserv oscar win tbh found help wa review help sign vote permalink,Positive
rev16,need i say everyth movi master everi singl way joker isnt awesom comic book awesom period it offer easi answer unsettl question rais cruel societi declin joaquin phoenix fulli commit perform todd phillip master albeit loo reinvent dc sourc make joker film leav comic book fan nonfan alik disturb move right way found help wa review help sign vote permalink,Positive
rev17,i stop watch movi joaquin phoenix award oscar tremend act found help wa review help sign vote permalink,Positive
rev18,i quit reli critic review year ago i notic critic rate low viewer rate high that said point critic oh wrong i went saw tonit mom i went skeptic w low expect i knew expect typic super hero what got masterpiec i went expect sheer boredom i instead edg seat whole time not action edg seat fear may say next edg seat to see charact evolv know villain batman beyond geniu joaquin phoenix true master perfect art consum charact i may place i dont care thi stori act direct effect everyon brought a game jp definit deserv nod win role and comparison jack nicholson heath ledger each actor took charact differ level differ stori point differ point time comparison would feasibl fair actor embrac made come life geniu way,Positive
rev19,i thought film good i dont get hype person the act amaz film good overal i think masterpiec film year bit overus throughout review in way i dislik film i thought realli good overhyp i feel though lot review pure base fact alreadi amaz review peopl want carri prais joker if film releas random guy situat i dont think review would high mayb that point found help wa review help sign vote permalink,Neutral
rev20,joaquin phoenix is joker phoenix gave perform felt like mixtur heath ledger joker jack nicholson joker alex a clockwork orangeoveral trip say least cinematographi good soundtrack set perfect mood film part the act plot sold though phoenix made forget charact one i seen movi hi perform mix overal feel plot made leav theater feel like i taken descent madness never big fan superhero movi i littl weari go absolut noth anyth superhero relat charact i love definit see it i hope would,Positive
rev21,i went film expect alltim classic base review i read i end watch decent film overal phoenix outstandingso definit part but i feel like youv seen trailer youv seen best way i describ film feel like hour version trailer at hour rel common runtim felt lot longerwhich isnt good id say much rental theater kinda justeh found help wa review help sign vote permalink,Neutral
rev22,do realli understand ten sure good good act nice shoot but plot intrigu at time realli long somewhat bore i need doublecheck genr see drama crime drama thriller said i would put mayb drama rest thrilleri miss dialogu depth substanc the plot realli somewhat crazi person becom bit crazier sure underton societi system mean charact peopl bring creat evil beast later want destroy everyth absolut i think intrigu stori plot dialogu enough give tenworthi watch ye but amaz found help wa review help sign vote permalink,Negative
rev23,when i heard everyon say film year review flood i quit hype excit when i walk cinema i felt hollow emptybefor i continu write let say thi not film year real masterpiec the cinematographi excel act incred that the sidecharact bland overli dramat the plot heavili reli plottwist film harsh actual fall flat facear good point though phoenix phenomen score great the cinematographi also incred plot great it even plot hole scene left emptyfilm year nope,Negative
rev24,the recur theme mani star review tell lot audienc if cant get review without toss one claim thi much better smarter your superhero even base entir review around premis i hate break kid your nowher near intellig grown think thi comic publish better b left behind grade school playground absolut relev qualiti opinion consid highli suspect your groupi gotta say also idea perfect film ever made realli need get look i get if live safe littl box watch superhero movi mainstream blockbust i understand exposur theme like first time would seem new excit i think agre probabl best dc comic relat last decad though that high bar meet cours joaquin phoenix talent actor stop take step back look thingjok inde present theme import societi neglect demon mental ill degre sometim creat monster everyon around seen come mile away hadnt busi look away avoid feel uncomfort unfortun remind u fact situat still exist realli say it danc around import subject like hey kid class inequ never offer actual insight usual busi make forc batman refer drop cringey littl edgi moment like dont smile sign scene seem design sole someth hot topic print new tshirt between everi singl plot twist telegraph far advanc lot u seen exact twist mani time i wasnt impressedperhap actual standalon instead shackl complet unnecessari tie batman univers could done someth interest theme dont get wrong i dont problem superhero movi feel gratuit someon came idea pitch execut told sound great make batman somehow im sorri im tri tell halfheart yet deadseri speech mental ill modern societi simultan constantli remind technic superhero,Negative
rev25,joaquin phoenix give heath ledger run money true stori thi popcorn fluff comic book flick do not take your kid to see thi movi shut ballot oscar joaquin take one home hand one best origin stori ever put the downsid stand alon film sequel tie dc univers todd philip take joker one pure brillianc joaquin phoenix joker deserv he didnt steal jack heath yet got tast found help wa review help sign vote permalink,Positive
rev26,i know unpopular opinion honestli overr bore hour felt like halfi dont buy whole thing invit show the meta standup made extrem dull bore then get allow broadcast long without interrupt also transport policecar ever believ enough mehe also act med aswel part didnt make sen either the polic must also realli catch guy faster homocideit good part boil mayb minut is i would watch probabl,Negative
rev27,the music the intens the realism the perform the stori such perfect combin everyth i never felt charact like joker could real i saw phoenix show u joker societi show u power obtain philip hand perfect choic music camera angl light everi import factor overal i expect stori perfect too mani shock turn happen realli repres today societi if i first screen i would applaud min found help wa review help sign vote permalink,Positive
rev28,in era cinema satur superhero gritti remak todd phillip phoenix somehow take charact deepli intrench pop cultur creat someth compel uniqu thi film unafraid bleak scari without offer much viewer mean comfort the way deal harsh cruelti world treat joke upon leav hate joker hate world made himphoenix simpli cannot prais enough he bring sympathi tragedi way move eye way contort shoulder way laugh a lesser actor would unabl swing mood far extrem phoenix add layer phoenix intric build charact the way twist writh bodi mesmer bring even tragedi joker thi phoenix moviea technic side far differ super hero film recent year the cinematograph director choos shallow focu give pheonix undivid attent viewer b person feel film there wide shot deep focu use sparingli charact action explos the color palett intent compos dour green blue tepid yellow give world sickli feel the soundtrack use affect bring wave optim intent clash protagonist angri depress thi film like compar the dark knight dceu film i dont find fair thi film far akin the machinist the king comedi tone visual stylei recommend film i think anyth short oscar nomin phoenix would disrespect effort give howev i one gripe i would like voic i found tiein wayn famili unnecessari it came across pander audienc love easter egg moreso stori in opinion i think stori would work even better distanc batman stori other i littl issu rest filmjok tell u life full sad give u charact whose purpos spread laughter joy i go finish review joke wouldnt get,Positive
rev29,i hype see love trailer i want watch cinema long timei watch bore aesthet amaz music good stori execut meh perform joker good perform peopl rave drive mad either seen mani movi i seen manythi bang averag actual bore i actual think leav half way i bore mindi regret watch overhyp i confus right i think good premis could much much moresign great repeat view move joker move whatsoev i would watch againi thought mayb peopl get paid write good review actual met peopl think best ever omgggthi bang averag way overhypedphoenix perform good stori execut bad i feel never even touch higher spectrum perform could characteri experienc seen wors life made feel hate word use snowflak plea get social medium live lifether real world,Negative
rev30,here broken man whose mental instabl ill catalyst arthur fleck eventu becom i mean nowher wit kind intellectu prowess high intellig even miniscul refer wit smart believ take becom joker previou filmsalso merit theori whole entir dream play imagin convey psychiatrist whole connect end sinc start meet psychiatrist know make thing revel in addit factual idea thoma wayn lovechild joker delus grandios throughout stori connect power peopl situat would semitrait narciss well although narciss far predomin psycholog problem id prefer theori would explain fleck lack kind pragmat intellig weve come expect throughout movieth joker play psychotherapist whole time make feel sympathi bad well audienc that joke end enabl kill thi joker fantasi origin stori littl validitygo ahead downvot there way take joker intellig mental compet enough becom ledger joker,Negative
rev31,break news killer clown back but time theyr prankster mimick pennywis scare sht peopl viral meme theyr incel threaten gun everyon choos take date dour depress dement movieif joker one featur nolan marvel entertain dark knight i doubt skinni lone druggedup psycho would rush hail guy hero inspirationledg joker brilliant manipulaitv consum infecti sometim charm confid phoenix joker dumb depress insecur ledger make thing happen thing happen phoenix the joker control event dark knight event spiral control jokerther fun great action set piec hint hope optim it two hour slog watch miser man drive insan start murder peopl then seemingli everyon goe insan theyv enoughchang name arthur elimin refer batman univers i doubt youd think origin stori joker know love mayb joker closest joker would resembl real worldwhich perhap aw who want moviether plenti good characterdriven film mental disturb individu spiral control there plenti good dark gritti super hero movi thi neither,Negative
rev32,the perfect portrait declin insan joaquin phoenix portray flawlessli perform lifetim choreograph impecc todd phillip noth short breathtak the cinematographi backdrop ideolog origin film complex charact compliment superb soundtrack act a hauntingli beauti film a defin edit bring part plssssss we want found help wa review help sign vote permalink,Positive
rev33,phoenix convinc alway meant joker the went beyond expect mani emot went coupl hour i think rate r phoenix abl unlock joker full psychot potenti charact meant thi amaz stori call and i mean build second mayb one batman my hope high point nevertheless brilliant goddamn the best joker ever play hand found help wa review help sign vote permalink,Positive
rev34,simpli put masterpiec think need see way movi and way movi i mean movi arent superhero movi the funni thing peopl call masterpiec cant qualifi claim way tri ask next person talk joker masterpiec if your lucki might get goe deep say someth vagu write direct amaz ask explain i guarante wont abl thi one note begin end joker crazi start crazi end there zero nuanc subtleti charact develop he simpli goe crazi crazier it cynic lazi dull retread real masterpiec like taxi driver king comedi shamelessli steal poorli i might add bewar anyon call masterpiec zero understand cinema found help wa review help sign vote permalink,Negative
rev35,the pool need money they need digniti respect coz take human if dont money remind good boy like politician feel frustrat peopl lower class accept fund champion in joker life i begin get found help wa review help sign vote permalink,Positive
rev36,ye joaquin perform good cinematographi pretti otherwis i get hype movienot long time i felt like i would better leav cinema stay get money worthfor someth suppos gritti real lot conveni scene help push plot alongveri disappoint found help wa review help sign vote permalink,Negative
rev37,still day see im still stun film i lucki enough see film night august th venic intern film festiv high anticip i blown away joaquin phoenix perform joker hand best entir year hi perform remind love watch actor play peopl perform appreci art form hi laugh movement slow transform arthur fleck wannab stand comedian crazi princ thiev joker thing beauti watch anybodi who watch film appreci phoenix commit role dont see phoenix screen charact joker joaquin phoenix might top heath ledger joker opinion damn close deserv everi act award possibl the film offer dark look gotham citi dark griddi atmospher joy happi world mani moment gave instant taxi driver king comedi vibe two martin scorses best film without copi film includ element film like eg polit tension citi definit borrow taxi driver bit standup comedi the king comedi the film deep charact studi man psycholog health issu simpli want bring laughter world perform clown eg child hospit perform standup comedian but mental health broken sad depress societi doesnt know joy let way peopl around see weirddiffer simpli want put street workplac mother hous etc point simpli find break point lose mind everi day goe lead kill peopl becom symbol terror chao toward end and everi moment someth bad happen arthur fleck ye whole lot thing happen life aka throughout film feel sad mourn sinc never seem intent harm peopl first audienc exactli understand thing throughout film im gonna go plot detail sinc film yet i believ even wouldnt name joker titl everybodi go watch film dont get deep sophist charact studi film like everyday especi film get mainstream attent i enjoy everi second watch charact slowli fall apart although i think charact zazi beetz total useless lead nowher could easili cut that probabl neg film but still thought provok masterpiec lot say current situat societi beyond comic book it offer complet differ take charact joker similar the kill joke lot surpris twist one word wayn even connect batman comic leav speechless and half great film thank great perform phoenix im gonna say scene third act joker appear live tv murray franklin show shown final trailer blew person away tension build phoenix great even robert de niro act heartbeat moment not spoil amaz i cant wait rewatch come octobercheck soon come venic,Positive
rev38,i thought complet utter garbag i dont understand peopl like much the charact doesnt even stay true comic director flat said didnt made seem like part gotham fall littl boy laugh problem hate found help wa review help sign vote permalink,Negative
rev39,amaz stori brilliant take magnific cinematographi someon step safe game play superhero movi joker also the boy movi gritti real insan dark sometim quit disturb peopl dont want accept what shown terribl realiti face everyday refus proper care normal peopl start compar one greatest like the dark knight act wise heath ledger potray joker i wouldnt say better otherwis stand tall amongst greatest like the godfath taxi driver citizen kane the dark knight come inevit comparison who better joker heath joaquin the answer both phenomen job joker charact fortun play two greatest actor definit top contend oscar i person think would take away best actor cinematographi origin score onc upon time hollywood lose makeup hairstyl categori would definit the joker,Positive
rev40,arthur fleck live invalid mother he suffer mental ill possibl result childhood abus budget cutback put end weekli counsel session goe med in real life anyon el would quickli becom non function seemingli becom normalconsequ goe bumbl idiot highli skill crimin i didnt find realist he also start hardli believ relationship beauti singl mom neighborit turn imagin way portray made imposs tell scene real imagin the scene robert de niro seem like fantasi appar realther mani scene defi beliefa random work colleagu gave load handgun free concern safeti same person tri throw bu first sign troublehi neighbour left door unlock despit danger neighbourhoodh suspect multipl murder yet cop made littl effort detain himwhen kill mom hospit ecg doesnt sound alarm nobodi suspect himetctoward end recreat scene dark knight remind heath ledger time betteri cannot see joker portray could possibl becom joker know,Negative
rev41,i expect masterpiec oscar worthi film hype i actual didnt enjoy watch messag slow joker turn son schizophren went crazi slight amount bulli i dont see anyon could relat charact laugh lame act way overdon im stun rate right hell found help wa review help sign vote permalink,Negative
rev42,without doubt one best movi ive ever seen found help wa review help sign vote permalink,Positive
rev43,joaquin portray sociopath mental unstabl man transform icon joker non grippingli accur realist touch rendit a dark disturb charact piec led oscar worthi perform joaquin phoenix you realli feel bad guy make heartbreak inevit becom clown princ crime know love although weve never seen like we see suffer throughout point almost root himk becom mass murder psyco clown least make feel better happen wish could avoid e mess we feel care by time he joker wish couldv help there lot great nod greater batman univers yet self contain charact piec that mark great all act great plot similar taxi driver brilliant qualiti show dont need cgi super power great villain superhero is joke everyon get thi rise joker,Positive
rev44,one best movi year oscar worthi joaquin phoenix deliv one best perform ive ever scene found help wa review help sign vote permalink,Positive
rev45,thi answer questionwhat joker real life charact a great deep move stori life journey man who suffer psycholog issu neglect bulli rude human push man complet madnessalthough accur comic book adapt tv seri yet uniqu take charact clown princ crime realist approach i believ joaquin phoenix amaz perform joker manag bring real life lookalik earli version joker although comic book accur i feel decent foundat joker true heart origin version lovabl villainth great piec filmmak aspect from plot interest believ mani relat act impress splendid direct outstand my main take lack posit lead charact i know live tough world full neg posit exampl shed light one two charact wouldv nice posit thoughtth joker misunderstood mani think itll inspir crime violenc i believ contrari mani go hard life feel sympathi joker charact other even relat miseri may justifi action i believ meant wake call mani a lot peopl daili suffer bulli racism hate crime neglect sometim go wors take deeper look action know asid money author equal human treat one anoth way expect treat,Positive
rev46,dont wast hour life baddest ive seen long time crappi write good storylineit bore i went pay counter ask money back hour torturethey cant peopl like and peopl reason went your joke found help wa review help sign vote permalink,Negative
rev47,serious unbeliev dare i say better heath ledger if joaquin phoenix doesnt win oscar best actor joker doesnt win veri least best screenplay one biggest oscar snub time found help wa review help sign vote permalink,Positive
rev48,i dont understand high rate i went cinema high expect discov slow anyth almost finish first kill happen it dread time wait someth happen but ye finish i final walk i got cosmic joke i joker trust review leav disappoint disbelief i actual paid watch found help wa review help sign vote permalink,Negative
rev49,joaquín phoenix unconvinc laugh look like beaten dog brutali ennoy minut the world mean bad bad hit back chao anarchi whatev inspir bye clown kill bulli more stupid excess brutal name ye it director hangov i dont want partir brutal bore found help wa review help sign vote permalink,Negative
rev50,while trailer may seem like potenti action pack clearli came theater intend progress charact studi you shouldnt go expect intens action joker know past thi arthur fleck becom jokeri seen mani bad review bore slow i believ utter perfect the first part begin understand arthur person all interact everyon life good bad the whole point charact studi evolut and far away one greatest evolut charact i ever seen moviejoaquin phoenix perform far best act i seen possibl last decad we see challeng person challeng societi complet break time and joaquin isnt act evolv throughout if anyon think doesnt put oscar win perform theyr ef mind ye slow start we couldnt jump joker chao we need know came begin withth whole compil amaz the complet oscar deserv perform joaquin choreographi cinematographi score everyth perfect harmoni while may lot controversi surround team put togeth perfect i piti cant appreci tear sweat emot went make moviei alway one side prefer marvel dc i feel like marvel sooo much better overal movi dc put trash but joker far away favorit comic even though take complet differ spin comic movi you appreci evolut appreci it action realli rip tear emot one ad wild suspens kick no comic book done,Positive
rev51,what incred ride i almost motionless throughout watch awe perform lifetim transit troubl man monster hound score directli drove goosebump cinematographi made feel like fli gotham look arthur master de niro gave nod jerri lewi ignor dc ignor batman thi work art right found help wa review help sign vote permalink,Positive
rev52,i dont write lot review i felt compel put write thought headthat appar lot differ thought quit peopl head come percept moviefirst order understand mine anybodi el critiqu absolut need seen follow movi alfr hitchcock psycho king comedi fight club taxi driver dark knight trilog dog day afternoonso let somewhat categor approach begin obviousact jp great job pure immers method actor he give deserv accolad the area falter overact actual fault director editor keep scene sinc scene repetit could taken the actor job compet wait actor ye plenti poorli written poorli characteris shell charact gave artist real scope perform given combin screen time deniro wast completelycast just jp stellar job mean ideal role sure take joker aspect away fit perfectli traumat declin man but joker origin stori that joaquin old the timelin dont make sen the young bruce wayn shown becom batman good year rememb bruce success older busi tycoon becam batman so time uppermiddl age joker come zazi ya potenti given much she good job a legend like deniro never accept poorli etch caricatur role murray franklincharact develop whoa all sheep talk master look movi i list see much copi bit piec jumbl togeth do peopl forget start mental unstabl seven medic so declin psychot killer isnt steep the inaccuraci plenti well ye person declin moral social adapt schizophrenia etc howev person cannot suddenli becom more intellig so person depict bumbl fool continu evolv sophist wellplan killer eventu becom charact known joker master villainth laugh the real joker suppos laugh cruel viciou monster laugh joke actual quit witti also laugh death miseri caus intent the joker laugh mental disord laugh involuntarili what hell that deviat alon make inelig call joker dc comic it simpli not true characterstori script flaw some alreadi mention no matter lack fund patient mental disord never ever medic taken away matter depart shut thi case decad even le wealthi countri dont how guy give load gun free protect screw like thatmus some older song cleverli place the score excel qualiti howev placement music highli manipul order creat faux dark snd suspes aura if i show video starv child play melancholi piano violin piec background cri emot manipul clever music score placement old old trick shameless overus akin shock horror flicksdirect all place todd philip tri hitchcock scorces nolan combin even remot close he steal heavili style whenev someon almost alway creat botch pace repetit scene oh yeah plenti thatstori there real plot stori the key turn point weak even if sake argument govern take medic away person mental disord uhhello person get wors control get smarter cun calcul not possibl the link thoma wayn dad cheap shot and conveni find properli thought letter mom suppos crazi wrote sensibl letter import forgot mail haha i roll eye hard eyebal hurtth socal social commentari contriv ohso fake anticapitalist messag oh rich peopl behind iron gate oh bad boo hoo let protest riot life much better what sad attempt cash antitrump sentiment and oh ironi rich peopl bad thank sheep gonna cash big you want see real social commentari far far ahead time watch the truman show the sad pathet ironi caus unrest sicken oh look guy live american citi apart free medic care a jobhow mani peopl world would die but oh look get bulli beat bit right fire jobbut could easili work fast food cafe till comedian act workedbut oh thi limit down rich let kill em let peopl pay hard earn money watch laugh way bank truli poor peopl world like wtf happenedmarket hype wow i mean realli wow thi modern day epic exampl social manipul engin masshyp opinion manipul word mouth sometim benefici sometim rememb gossip rumor also form word mouth when five friend say film masterpiec go say thought fear ridicul someon savvi enough understand deep moviesth thing comic theme draw rel younger audienc well mani seen list movi catch i call plagiar want call tribut even botch one and folk flood social medium hyperbol terminolog epic geniu masterpiec legendari achivementyawn i miss and hype train go till past oscar award season fake ooh aaah speech pseudodeep jp get award mainli effort poor competit year that far deservingnessmani alreadi question liter thousand rate review site even premier hmmi say hmmbut whatev if that way modern game play fine it ultim peopl a shakespear said to sheep question,Negative
rev53,thi film mental ill specif mental ill call creativ diarrhoea in film band hollywood insipid produc writer director riffraff suffer ailment got togeth group therapi session therapist hollywood mogul let gather refus flog hundr million dollarsseri though sooo much wrong i wont even start i knew joker sob stori hope artist success i went i went see anyway ill start point review observ even joker he suav he witti lethal gimmick morbid joke anarch isnt crimin mastermind he loser goe school shooter streaksecondli i said earlier film mental ill it mockeri cash increas mental health there one concept psychosi mental health problem judici explor ill caus suffer laugh inappropri situat serious all your get downtrodden loner subject beat injustic design spark indign viewer go murder spreewith regard muchprais act mysteri anyon could come judgement phoenix theatric achiev base asinin script i cant not devot iota attent posit review im fairli confid largescal review rig go onth plot one dimension juvenil dialogu engag monoton nurseri rhyme charact develop shallow there goof left right centr like revolv zero recoil bullet whi arthur keep danc whi need see arthur fondl whi emaci whi much smoke i watch mani closeup cigarett burn make wonder film sponsor tobacco industryth two posit firstli final talk show scene litter though imperfect like rest sit littl le slouch seat also interest theori present tie joker batmanwith bar set high the dark knight director seek artist acclaim go near joker mani year come mayb ever hand joker charact render boon hollywood opportunist second time weve seen charact butcher low effort high budget money maker thi one forgotten quick i dont know long joker recov,Negative
rev54,im keep short sucksy i know there need build charact crap i think import good moviesam goe i get joker troubl man i get frustrat i dont need hour tell crap againg guy oscar perform throw trash right found help wa review help sign vote permalink,Negative
rev55,thi disappoint it drag and i wait thing explod i dont get hype everybodi call masterpiec nobodi tell masterpiec if societi creat killer done poorli to felt like larg number scene without real stori,Negative
rev56,i never left review titl good bad piec garbag i regist imdb account vent opinion i want hour life back found help wa review help sign vote permalink,Negative
rev57,joker liter achiev cinemat histori there doubt but peopl compar endgam both movi way complet differ endgam best genr talk joker what i say a beauti present storylin direct screenplay peak great heath ledger smile earth found help wa review help sign vote permalink,Positive
rev58,the review make film far better actual dont get wrong technic extrem well done phoenix perform realli quit extraordinari definit look oscar nomin despit excel write act directionth film kinda boringit moment sure disturb element butif i watch i would look mani time film lack isexcitementth final act excel felt like took forev get found help wa review help sign vote permalink,Neutral
rev59,im make sure give star definit that liejok amaz it far great more bore sideit lack plot twist focu much charact develop how mani time someon need get punch face go crazyh suffer get fire mental ill nobodi love he sad cri laugh laugh and kill peopl that that found help wa review help sign vote permalink,Negative
rev60,thi masterpiec it absolut epitom dc dark emot thought provok action action action one best movi ive seen long timecrit definit lost touch public ignor one do favor watch itand rememb good one anoth you dont know someon el go found help wa review help sign vote permalink,Positive
rev61,they say write and great exampl good act product valu cannot save script steep tiresom stereotyp failur delv charact ident we meet joker alreadi imbalanc socal descent mad realli coupl week away far descent stroll thi charact studi despit claim contrari it showcas good actor overli contort bodi laugh manic mistaken express mad where past where influenc where conflict what semin moment creat spiral perhap realli relationship gone sour would justifi descent instead fait accompli thi lazi write focus fanci long shot joaquin phoenix danc crazili produc someth valu franchis found help wa review help sign vote permalink,Negative
rev62,i dont understand peopl find bore feel like watch someon documentaral peopl think fight scene that youll never find substanc typeshollywood modern superhero genr movi serious predict clich probabl mayb so go found help wa review help sign vote permalink,Neutral
rev63,is anyon see kind rip king comedi found help wa review help sign vote permalink,Negative
rev64,creativ actor joaquin creativ embodi role joker film deserv found help wa review help sign vote permalink,Positive
rev65,absolut disappoint i believ hype like fool no person actual saw told good stupid review it cring noth actual happen except phoenix smoke danc around there action substanc humor everyth cring overact i suppos like independ movi tiff cann someth if actual wanna entertain see the joker dc best descript millenni joker societi mean nobodi give anyth cri complain get attent when none given start kill found help wa review help sign vote permalink,Negative
rev66,onli audienc think alway correct like film tri project action ultim entir world harm film societi but joker act top notch director might util better found help wa review help sign vote permalink,Negative
rev67,it seem like make psychot killer clown halfway product decid slap joker titl make origin one icon villain time they could literari chang coupl name put depress psycho killer clown titl wouldnt make differ well least would give score maybephoenix joker strip slice dice blend strain reduc one mani aspect charact insan well clown cloth no charact trait joker famou fear love i cant see develop ever version even slap one import part lore characteris joker never truli reveal true ident even three comic book version genesi probabl lie well jack napier shortcut stori sake first keaton batman moviewis forget deadli toy gadget geniu intellect prankster person wit plan ahead true joker drive forc one passeng cab taxi driver pun intend joker would never pitti laugh psycholog condit cant help laugh genuin amus terror pain inflict is truli psychopath person type tourett syndrom push world murder crime and joker suppos actual funni sick twist way phoenix u thi first time find anyth funni one depict joker well leto perform pretti good contend wont judg basi second screen time lol even closer joker thisa make batman dark knight left earli fear bat mask pointi ear iron man toni rich pompou jerkand bruce wayn becom batman joker year oldthi doesnt work origin stori doesnt work standalon compos one realli long act glimps second one part dc gener it origin stori need deserv simpli isnt joker stori,Negative
rev68,i feel best movi complex make feel rang emot love empathi piti joy hatr etc the joker i found seri unbeliev clich so joker poor menial job everyon societi mean abus includ mother i feel sorri tine show mental issu probabl keep live normal life i feel empathi plight i didnt feel societi would get behind hero kill peopl randomli subway also i found ridicul mob attack cop everyon societi hate cop it trite hollywood take rich peopl mean aw peopl poor i find hilari given everyon hollywood is rich it unrealist mani angl i wish i hadnt wast time watch,Negative
rev69,peopl hype pretenti make feel like enlighten one i havent heard good review smart intellig peopl onli whose main list consist action comedi call piec arta wife friend even call hadnt like lem she one countrysid dream expens brand actual made laugh as now idea made forth plot main weak the phoenix overplay feel uncomfort watch the camera work feel cheap overal boredom make start notic imperfect i would give mani pretenti dummi gave point ill even differ,Negative
